2016-06-03 16:17:43	IPS_MCAFEE	IPS (10.10.6.106)	10.11.16.12	10.11.1.101	IPS,LEVEL:Medium,ATTACK-NAME:ARP: ARP Spoofing Detected,DOMAIN:IPS-dbstl,S-PORT:0,D-PORT:0,PROTO:hopopt,RESULT:Suspicious	
2016-06-03 16:17:43	IPS_MCAFEE	IPS (10.10.17.106)	255.255.255.255	255.255.255.255	IPS,LEVEL:Low,ATTACK-NAME:TELNET: Invalid Telnet Flow,DOMAIN:IPS-dbstl,S-PORT:N/A,D-PORT:N/A,PROTO:N/A,RESULT:May be successful	
2016-06-03 16:17:45	IPS_MCAFEE	IPS (10.10.17.106)	255.255.255.255	255.255.255.255	IPS,LEVEL:Low,ATTACK-NAME:TELNET: Invalid Telnet Flow,DOMAIN:IPS-dbstl,S-PORT:N/A,D-PORT:N/A,PROTO:N/A,RESULT:May be successful	
2016-06-03 00:05:47	IPS_MCAFEE	IPS (10.10.17.106)	255.255.255.255	255.255.255.255	IPS,LEVEL:Low,ATTACK-NAME:TELNET: Invalid Telnet Flow,DOMAIN:IPS-dbstl,S-PORT:N/A,D-PORT:N/A,PROTO:N/A,RESULT:May be successful	
2016-06-03 00:05:56	IPS_MCAFEE	IPS (10.10.17.106)	10.17.48.19	255.255.255.255	IPS,LEVEL:Medium,ATTACK-NAME:ICMP: Host Sweep,DOMAIN:IPS-dbstl,S-PORT:0,D-PORT:0,PROTO:N/A,RESULT:Suspicious	
2016-06-03 00:05:57	IPS_MCAFEE	IPS (10.12.34.20)	123.151.149.222	255.255.255.255	IPS,LEVEL:Medium,ATTACK-NAME:TCP: SYN Host Sweep,DOMAIN:IPS_A,S-PORT:0,D-PORT:1723,PROTO:N/A,RESULT:Suspicious	
2016-06-03 00:05:58	IPS_MCAFEE	IPS (10.12.48.12)	123.151.149.222	255.255.255.255	TCP: SYN Host Sweep,LEVEL:Medium,ATTACK-NAME:N/A,DOMAIN:IPS2700_1,S-PORT:0,D-PORT:1723,PROTO:N/A,RESULT:n/a	
2016-06-03 00:06:01	IPS_MCAFEE	IPS (10.10.17.10)	10.101.16.102	10.10.17.10	IPS,LEVEL:Medium,ATTACK-NAME:ARP: ARP Spoofing Detected,DOMAIN:IPS-dbstl,S-PORT:0,D-PORT:0,PROTO:hopopt,RESULT:Suspicious
2016-06-03 00:01:25	IPS_TIPPING	IPS (10.12.46.193)	172.16.3.70	224.0.0.1	Action:Block, Severity:Minor, Signature Name:0089: IP: Short Time To Live (1), Protocol:ip, S-Port:0, D-Port:0, Hit count:1	
2016-06-03 00:01:25	IPS_TIPPING	IPS (10.12.46.193)	172.16.3.70	224.0.0.2	Action:Block, Severity:Minor, Signature Name:0089: IP: Short Time To Live (1), Protocol:ip, S-Port:0, D-Port:0, Hit count:1	
2016-06-03 00:01:25	IPS_TIPPING	IPS (10.12.46.193)	172.16.3.70	224.0.0.5	Action:Block, Severity:Minor, Signature Name:0089: IP: Short Time To Live (1), Protocol:ip, S-Port:0, D-Port:0, Hit count:6	
2016-06-03 00:01:25	IPS_TIPPING	IPS (10.12.46.193)	172.16.3.70	224.0.0.22	Action:Block, Severity:Minor, Signature Name:0089: IP: Short Time To Live (1), Protocol:ip, S-Port:0, D-Port:0, Hit count:1	
2016-06-03 00:01:25	IPS_TIPPING	IPS (10.12.46.193)	172.16.3.70	224.0.0.6	Action:Block, Severity:Minor, Signature Name:0089: IP: Short Time To Live (1), Protocol:ip, S-Port:0, D-Port:0, Hit count:1
